loan_id,origination_date,grade,region,product_type,ead,pd,lgd,loan_int_rate,loan_status,loan_percent_income,person_age,person_income,person_emp_length,cb_person_cred_hist_length,prior_default
LN000043,2022-03-15,A,MORTGAGE,VENTURE,20000.0,0.079022,0.205865,7.88,0,0.07,26,300000,10.0,4,0
LN000044,2024-02-28,F,OWN,EDUCATION,24250.0,0.763894,0.745666,19.41,0,0.08,23,300000,1.0,2,1
LN000045,2023-01-10,B,OWN,HOMEIMPROVEMENT,10000.0,0.135407,0.308376,10.38,0,0.03,26,300000,9.0,4,0
LN000046,2021-05-24,D,MORTGAGE,EDUCATION,25000.0,0.566901,0.544762,15.33,0,0.08,26,300000,0.0,3,0
LN000047,2022-09-03,E,MORTGAGE,HOMEIMPROVEMENT,18000.0,0.621897,0.685692,16.45,0,0.06,25,300000,9.0,3,0
LN000048,2021-05-15,A,RENT,PERSONAL,30000.0,0.138886,0.222316,7.49,1,0.37,26,80690,8.0,3,0
LN000049,2023-08-14,B,RENT,MEDICAL,30000.0,0.200518,0.291852,12.69,1,0.38,22,66300,4.0,3,0
LN000050,2021-02-04,A,RENT,DEBTCONSOLIDATION,30000.0,0.118785,0.213361,6.62,1,0.34,26,89028,0.0,3,0
LN000051,2023-07-28,D,RENT,DEBTCONSOLIDATION,30000.0,0.70812,0.54043,15.31,1,0.38,24,78000,4.0,4,1
LN000052,2023-07-01,F,RENT,DEBTCONSOLIDATION,30000.0,0.819475,0.714357,18.62,1,0.38,23,78000,7.0,3,1
LN000053,2022-10-18,C,RENT,PERSONAL,30000.0,0.309915,0.399596,15.23,1,0.33,23,92004,6.0,3,1
LN000054,2022-02-02,B,RENT,VENTURE,30000.0,0.187858,0.309398,10.65,1,0.31,23,97000,7.0,2,0
LN000055,2023-11-06,A,RENT,EDUCATION,30000.0,0.114755,0.222063,7.9,0,0.25,25,120000,9.0,4,0
LN000056,2024-01-16,C,RENT,PERSONAL,10000.0,0.271956,0.408146,15.96,0,0.04,26,280000,4.0,3,1
LN000057,2021-09-15,B,RENT,VENTURE,20000.0,0.138604,0.320473,11.48,0,0.07,26,277104,0.0,3,0
LN000058,2023-08-27,A,OWN,PERSONAL,35000.0,0.084054,0.214234,7.49,0,0.13,23,277000,3.0,4,0
LN000059,2023-09-29,A,RENT,PERSONAL,30000.0,0.107256,0.227098,7.29,0,0.23,25,128000,9.0,4,0
LN000060,2023-12-03,E,OWN,VENTURE,1750.0,0.719078,0.663624,16.82,0,0.15,24,12000,2.0,3,1
LN000061,2022-12-27,A,RENT,VENTURE,30000.0,0.103204,0.201583,5.99,0,0.23,21,131000,0.0,4,0
LN000062,2021-01-18,B,OWN,VENTURE,12000.0,0.141872,0.330854,11.58,0,0.04,22,275000,6.0,2,0
LN000063,2024-04-29,B,MORTGAGE,EDUCATION,10000.0,0.137268,0.287098,10.99,1,0.04,26,263000,0.0,4,0
LN000064,2021-04-20,D,MORTGAGE,MEDICAL,25000.0,0.564519,0.578654,15.7,1,0.1,25,221850,9.0,2,0
LN000065,2021-03-28,D,RENT,EDUCATION,29100.0,0.638563,0.530778,15.99,1,0.42,22,70000,6.0,3,0
LN000066,2021-08-07,D,MORTGAGE,EDUCATION,1500.0,0.663281,0.53864,14.84,0,0.13,22,12000,7.0,3,1
LN000067,2023-09-21,B,OWN,HOMEIMPROVEMENT,28000.0,0.14444,0.295452,10.99,0,0.11,26,260000,10.0,3,0
LN000068,2024-03-14,D,MORTGAGE,HOMEIMPROVEMENT,20000.0,0.655518,0.532028,14.42,0,0.08,25,259000,9.0,2,1
LN000069,2022-02-02,A,MORTGAGE,EDUCATION,9600.0,0.081408,0.251813,6.99,0,0.04,24,255000,9.0,2,0
LN000070,2022-12-23,C,RENT,MEDICAL,25000.0,0.184074,0.407019,13.49,0,0.1,25,250000,2.0,4,0
LN000071,2022-10-26,C,OWN,MEDICAL,3000.0,0.219107,0.426687,13.48,1,0.25,25,12000,0.0,3,0
LN000072,2022-01-06,A,RENT,MEDICAL,28000.0,0.16529,0.206429,7.49,1,0.49,22,56950,6.0,2,0
LN000073,2022-11-02,C,OWN,EDUCATION,3000.0,0.297121,0.428488,13.61,1,0.25,21,12000,6.0,3,1
LN000074,2022-04-28,A,RENT,EDUCATION,28000.0,0.153423,0.203438,7.9,1,0.43,23,65000,2.0,2,0
LN000075,2022-12-04,A,RENT,VENTURE,28000.0,0.112501,0.213802,7.49,1,0.33,26,85000,2.0,3,0
LN000076,2024-03-23,A,OWN,EDUCATION,6100.0,0.16571,0.21947,7.51,1,0.51,26,12000,2.0,3,0
LN000077,2023-02-24,B,RENT,VENTURE,28000.0,0.187235,0.288813,9.91,1,0.32,22,88000,6.0,3,0
LN000078,2021-09-17,C,OWN,PERSONAL,4200.0,0.315805,0.455286,13.48,1,0.35,21,12000,0.0,4,1
LN000079,2024-03-04,A,OWN,DEBTCONSOLIDATION,4750.0,0.140059,0.218774,7.14,1,0.4,22,12000,6.0,2,0
LN000080,2023-02-07,D,RENT,VENTURE,28000.0,0.688562,0.54057,15.99,1,0.34,24,83004,0.0,4,1
LN000081,2023-07-06,C,RENT,EDUCATION,18000.0,0.266202,0.401461,12.98,0,0.07,24,250000,2.0,3,1
LN000082,2023-12-20,C,RENT,VENTURE,4800.0,0.189086,0.415656,13.57,0,0.02,85,250000,4.0,3,0
LN000083,2021-09-11,B,RENT,DEBTCONSOLIDATION,28000.0,0.186189,0.29252,12.69,0,0.28,25,100000,5.0,3,0
LN000084,2023-04-26,A,RENT,EDUCATION,28000.0,0.107009,0.242334,8.9,0,0.25,26,110000,10.0,2,0
LN000085,2023-01-01,A,OWN,DEBTCONSOLIDATION,2700.0,0.101558,0.216429,7.49,1,0.23,26,12000,0.0,4,0
LN000086,2021-01-23,B,RENT,EDUCATION,28000.0,0.172291,0.30264,10.99,1,0.26,22,108000,6.0,4,0
LN000087,2022-04-03,B,RENT,DEBTCONSOLIDATION,28000.0,0.165377,0.32013,11.11,0,0.19,23,151200,7.0,2,0
LN000088,2022-01-01,A,RENT,HOMEIMPROVEMENT,27600.0,0.141244,0.199137,7.49,1,0.4,24,69000,2.0,2,0
LN000089,2021-07-08,E,MORTGAGE,DEBTCONSOLIDATION,3250.0,0.735551,0.625381,15.68,1,0.27,21,12000,5.0,3,1
LN000090,2021-05-29,C,RENT,EDUCATION,27500.0,0.327866,0.410288,13.06,1,0.39,22,70000,4.0,3,1
LN000091,2021-05-11,B,OWN,PERSONAL,25000.0,0.143285,0.305873,10.99,0,0.1,22,240000,6.0,2,0
LN000092,2022-07-14,D,RENT,VENTURE,27050.0,0.709343,0.550439,15.62,1,0.37,26,73200,5.0,2,1
LN000093,2023-06-28,C,RENT,PERSONAL,27000.0,0.30979,0.391816,13.49,1,0.33,24,83000,5.0,2,1
LN000094,2024-03-06,D,RENT,VENTURE,27000.0,0.622862,0.534395,15.31,1,0.37,24,73399,0.0,3,0
LN000095,2022-05-09,B,RENT,MEDICAL,26000.0,0.204839,0.260588,11.71,1,0.42,23,62500,7.0,2,0
LN000096,2022-12-20,B,RENT,EDUCATION,25600.0,0.157482,0.293025,12.69,0,0.21,23,120000,1.0,3,0
LN000097,2022-11-22,C,OWN,MEDICAL,1600.0,0.194781,0.425009,13.57,0,0.13,24,12360,2.0,3,0
LN000098,2024-05-24,B,RENT,VENTURE,25475.0,0.208105,0.318375,10.99,1,0.42,22,60000,0.0,3,0
LN000099,2023-03-13,C,MORTGAGE,MEDICAL,20000.0,0.267326,0.39995,14.27,0,0.09,25,234000,3.0,4,1
LN000100,2022-12-08,B,OWN,HOMEIMPROVEMENT,20000.0,0.141627,0.290651,8.88,0,0.09,24,234000,8.0,4,0
LN000101,2021-07-25,B,MORTGAGE,HOMEIMPROVEMENT,21600.0,0.135723,0.309104,12.18,0,0.09,26,234000,10.0,3,0
LN000102,2021-11-13,D,MORTGAGE,DEBTCONSOLIDATION,11900.0,0.648397,0.553852,14.42,1,0.05,25,221004,6.0,3,1
LN000103,2022-12-06,C,MORTGAGE,MEDICAL,25000.0,0.267586,0.439616,14.17,0,0.11,26,232500,0.0,2,1
LN000104,2021-04-03,C,MORTGAGE,MEDICAL,35000.0,0.193289,0.418256,13.99,0,0.15,25,230000,5.0,4,0
LN000105,2022-06-08,B,RENT,EDUCATION,25300.0,0.181994,0.300051,10.99,1,0.3,23,83000,7.0,3,0
LN000106,2023-03-30,A,MORTGAGE,PERSONAL,2000.0,0.09362,0.180025,5.42,1,0.16,22,12600,4.0,4,0
LN000107,2023-03-31,C,OWN,PERSONAL,1750.0,0.204731,0.416061,13.61,0,0.14,25,12600,3.0,3,0
LN000108,2021-08-21,C,RENT,EDUCATION,25000.0,0.366173,0.442044,12.73,1,0.59,21,42500,3.0,3,1
LN000109,2023-12-15,D,RENT,HOMEIMPROVEMENT,25000.0,0.671788,0.560593,15.31,1,0.61,24,41000,2.0,3,0
LN000110,2023-04-19,C,OWN,DEBTCONSOLIDATION,3000.0,0.292928,0.414103,12.87,1,0.23,25,12816,0.0,4,1
LN000111,2023-09-12,B,MORTGAGE,HOMEIMPROVEMENT,3650.0,0.169206,0.304191,9.91,1,0.28,24,12960,1.0,3,0
LN000112,2021-04-06,B,MORTGAGE,HOMEIMPROVEMENT,20000.0,0.142667,0.295632,11.49,0,0.09,26,226000,4.0,4,0
LN000113,2024-02-25,E,MORTGAGE,HOMEIMPROVEMENT,30000.0,0.710501,0.654283,19.91,0,0.13,25,225000,0.0,2,1
LN000114,2023-07-13,B,MORTGAGE,EDUCATION,35000.0,0.167116,0.304814,10.65,1,0.16,26,213000,6.0,2,0
LN000115,2024-04-09,B,RENT,MEDICAL,6000.0,0.141838,0.30622,10.99,0,0.03,24,225000,0.0,4,0
LN000116,2023-10-17,B,MORTGAGE,DEBTCONSOLIDATION,4500.0,0.194308,0.322481,11.83,1,0.35,24,12960,0.0,4,0
LN000117,2023-12-17,C,OWN,DEBTCONSOLIDATION,2400.0,0.283126,0.428391,13.49,1,0.18,23,12996,0.0,2,1
LN000118,2024-05-10,D,RENT,MEDICAL,25000.0,0.744657,0.546169,14.59,1,0.6,22,42000,6.0,2,1
LN000119,2021-08-13,B,RENT,EDUCATION,25000.0,0.232514,0.283573,9.64,1,0.52,26,48000,2.0,4,0
LN000120,2022-08-08,D,OWN,MEDICAL,3600.0,0.61026,0.523939,14.59,1,0.28,25,12996,1.0,3,0
LN000121,2022-12-11,B,OWN,EDUCATION,4750.0,0.200755,0.290642,10.99,1,0.37,22,12996,1.0,3,0
LN000122,2023-05-01,E,RENT,EDUCATION,25000.0,0.797653,0.648933,16.35,1,0.59,25,42360,1.0,3,1
LN000123,2021-07-17,B,RENT,EDUCATION,25000.0,0.231814,0.273565,10.99,1,0.51,21,49000,4.0,2,0
LN000124,2021-04-07,F,MORTGAGE,VENTURE,25000.0,0.680391,0.734586,18.67,0,0.11,25,225000,0.0,2,0
LN000125,2023-01-07,A,RENT,EDUCATION,3000.0,0.082534,0.23841,9.32,0,0.01,26,225000,1.0,4,0
LN000126,2021-11-01,A,RENT,DEBTCONSOLIDATION,7500.0,0.090552,0.224522,8.63,0,0.03,23,225000,8.0,2,0
LN000127,2021-01-04,B,MORTGAGE,VENTURE,25000.0,0.139847,0.295059,10.08,0,0.11,26,225000,2.0,2,0
LN000128,2021-01-28,B,RENT,PERSONAL,25000.0,0.221969,0.296846,11.83,1,0.51,22,49464,5.0,3,0
LN000129,2021-03-05,A,RENT,DEBTCONSOLIDATION,25000.0,0.160098,0.223686,7.9,1,0.5,23,50000,1.0,3,0
LN000130,2022-08-07,A,RENT,HOMEIMPROVEMENT,25000.0,0.157083,0.208551,5.99,1,0.5,25,50000,4.0,2,0
LN000131,2024-03-09,D,RENT,DEBTCONSOLIDATION,25000.0,0.656747,0.537624,15.33,1,0.57,24,44000,2.0,2,0
LN000132,2024-04-08,B,RENT,VENTURE,25000.0,0.223143,0.298485,11.83,1,0.5,23,50000,1.0,4,0
LN000133,2024-06-21,B,RENT,VENTURE,25000.0,0.217488,0.302586,10.36,1,0.5,22,50004,0.0,2,0
LN000134,2021-04-06,C,RENT,VENTURE,25000.0,0.269668,0.404374,12.23,1,0.5,22,50004,3.0,3,0
LN000135,2022-08-21,B,RENT,EDUCATION,25000.0,0.214203,0.316206,11.11,1,0.48,22,52000,2.0,4,0
LN000136,2024-06-29,A,OWN,DEBTCONSOLIDATION,4950.0,0.14335,0.230218,7.9,1,0.38,23,13200,3.0,4,0
LN000137,2022-12-12,B,MORTGAGE,EDUCATION,25000.0,0.140884,0.285811,11.58,0,0.11,24,220000,1.0,2,0
LN000138,2023-08-09,A,MORTGAGE,DEBTCONSOLIDATION,21000.0,0.07799,0.197213,8.9,0,0.1,23,216000,5.0,3,0
LN000139,2023-02-26,D,MORTGAGE,EDUCATION,25000.0,0.578568,0.564501,16.07,0,0.12,25,216000,2.0,3,0
LN000140,2023-01-18,C,MORTGAGE,EDUCATION,20000.0,0.261146,0.419367,14.22,0,0.09,26,216000,10.0,2,1
LN000141,2021-01-18,C,MORTGAGE,MEDICAL,35000.0,0.280437,0.402185,14.79,0,0.16,23,215000,7.0,3,1
LN000142,2022-11-01,A,MORTGAGE,EDUCATION,12000.0,0.086136,0.226269,7.88,0,0.06,26,215000,11.0,2,0
LN000143,2023-12-12,C,RENT,PERSONAL,25000.0,0.255263,0.418005,13.22,1,0.48,23,52000,1.0,2,0
LN000144,2024-06-29,D,RENT,DEBTCONSOLIDATION,25000.0,0.659423,0.560489,11.86,1,0.54,26,46000,2.0,4,0
LN000145,2022-05-19,C,RENT,EDUCATION,25000.0,0.342599,0.41019,13.43,1,0.47,22,53000,5.0,4,1
LN000146,2023-04-20,D,RENT,HOMEIMPROVEMENT,25000.0,0.740409,0.557751,15.28,1,0.53,26,47000,0.0,2,1
LN000147,2023-10-11,E,RENT,VENTURE,25000.0,0.704015,0.629987,17.93,1,0.53,23,47000,1.0,2,0
LN000148,2023-07-14,B,MORTGAGE,EDUCATION,1400.0,0.138198,0.31794,9.25,0,0.11,23,13200,2.0,4,0
LN000149,2023-10-01,C,OWN,VENTURE,4500.0,0.23791,0.426082,12.98,1,0.34,21,13200,0.0,4,0
LN000150,2022-10-19,B,MORTGAGE,VENTURE,16000.0,0.144285,0.326545,10.62,0,0.08,22,210000,6.0,4,0
LN000151,2022-10-21,B,OWN,PERSONAL,22000.0,0.144052,0.323979,11.83,0,0.1,26,210000,10.0,4,0
LN000152,2021-07-03,F,RENT,VENTURE,25000.0,0.771132,0.732234,18.43,1,0.52,26,48000,5.0,2,0
LN000153,2023-11-04,B,RENT,EDUCATION,25000.0,0.2094,0.286393,10.99,1,0.45,22,54996,6.0,4,0
LN000154,2022-08-14,D,RENT,HOMEIMPROVEMENT,25000.0,0.721661,0.532209,15.31,1,0.45,24,55000,4.0,4,1
LN000155,2021-12-22,B,RENT,EDUCATION,25000.0,0.214265,0.279023,11.36,1,0.45,23,55000,4.0,3,0
LN000156,2024-06-18,D,RENT,EDUCATION,25000.0,0.716928,0.528787,15.65,1,0.45,23,55000,4.0,3,1
LN000157,2021-01-13,C,RENT,PERSONAL,25000.0,0.346629,0.419268,13.22,1,0.45,24,55164,8.0,4,1
LN000158,2023-04-12,C,RENT,DEBTCONSOLIDATION,25000.0,0.259669,0.410764,12.87,1,0.45,26,56000,4.0,2,0
LN000159,2023-08-03,C,OWN,MEDICAL,20000.0,0.181343,0.408806,13.04,0,0.1,24,203500,8.0,3,0
LN000160,2021-06-01,F,MORTGAGE,EDUCATION,22000.0,0.772683,0.718423,17.58,1,0.12,23,190000,5.0,3,1
LN000161,2021-10-10,E,OWN,PERSONAL,7750.0,0.711327,0.621574,17.04,1,0.56,23,13920,2.0,4,0
LN000162,2022-10-12,B,RENT,PERSONAL,25000.0,0.210735,0.306691,10.99,1,0.42,24,60000,0.0,3,0
LN000163,2023-02-06,B,RENT,PERSONAL,25000.0,0.212593,0.310127,11.11,1,0.42,24,60000,2.0,3,0
LN000164,2023-11-03,D,RENT,DEBTCONSOLIDATION,25000.0,0.718397,0.524447,14.83,1,0.46,26,54000,7.0,2,1
LN000165,2022-01-07,D,OWN,DEBTCONSOLIDATION,4000.0,0.613317,0.533238,15.31,1,0.29,23,14000,2.0,3,0
LN000166,2022-05-08,B,RENT,MEDICAL,12000.0,0.144864,0.333892,12.69,0,0.06,24,200000,8.0,2,0
LN000167,2023-09-14,C,MORTGAGE,HOMEIMPROVEMENT,12000.0,0.19141,0.431352,13.49,0,0.06,24,200000,8.0,2,0
LN000168,2023-03-23,C,MORTGAGE,EDUCATION,16000.0,0.196784,0.396334,14.65,0,0.08,21,200000,5.0,4,0
LN000169,2023-09-21,E,RENT,HOMEIMPROVEMENT,25000.0,0.694973,0.64601,16.82,1,0.46,25,54000,3.0,4,0
LN000170,2024-05-06,C,RENT,PERSONAL,25000.0,0.247531,0.432744,12.73,1,0.42,23,60000,3.0,3,0
LN000171,2021-09-20,B,RENT,PERSONAL,25000.0,0.202352,0.297754,10.25,1,0.42,23,60000,7.0,4,0
LN000172,2024-01-23,B,RENT,EDUCATION,25000.0,0.202721,0.299926,10.99,1,0.42,21,60000,6.0,4,0
LN000173,2023-04-23,C,RENT,MEDICAL,25000.0,0.246914,0.427311,12.73,1,0.4,25,61959,9.0,2,0
LN000174,2023-12-24,D,RENT,HOMEIMPROVEMENT,25000.0,0.720206,0.554646,14.96,1,0.44,22,56400,2.0,3,1
LN000175,2023-02-05,A,MORTGAGE,EDUCATION,28000.0,0.088983,0.22399,7.49,0,0.14,23,200000,7.0,2,0
LN000176,2021-01-30,C,MORTGAGE,DEBTCONSOLIDATION,25000.0,0.197436,0.41203,13.99,0,0.13,21,200000,2.0,2,0
LN000177,2022-03-18,A,MORTGAGE,VENTURE,24000.0,0.083665,0.219903,7.49,0,0.12,24,200000,3.0,4,0
LN000178,2022-07-24,C,MORTGAGE,EDUCATION,15000.0,0.194568,0.441581,14.79,0,0.07,26,200000,4.0,3,0
LN000179,2023-12-30,B,MORTGAGE,DEBTCONSOLIDATION,15500.0,0.141477,0.307212,11.99,0,0.08,25,200000,2.0,2,0
LN000180,2021-06-02,A,RENT,EDUCATION,10000.0,0.093201,0.207909,8.49,0,0.05,24,200000,8.0,4,0
LN000181,2023-03-11,B,RENT,EDUCATION,25000.0,0.201928,0.318091,9.91,1,0.38,24,66000,3.0,2,0
LN000182,2024-04-12,C,RENT,EDUCATION,25000.0,0.319014,0.442922,13.06,1,0.38,22,66000,6.0,3,1
LN000183,2022-01-06,A,MORTGAGE,DEBTCONSOLIDATION,9000.0,0.074246,0.236405,6.17,0,0.04,22,200000,6.0,4,0
LN000184,2023-11-08,B,MORTGAGE,EDUCATION,6000.0,0.145212,0.301822,11.86,0,0.03,85,200000,4.0,2,0
LN000185,2022-04-11,D,RENT,EDUCATION,18000.0,0.569383,0.541169,16.32,0,0.09,25,200000,5.0,3,0
LN000186,2022-03-27,B,MORTGAGE,VENTURE,12000.0,0.14637,0.286083,10.38,0,0.06,25,200000,2.0,2,0
LN000187,2024-04-09,C,MORTGAGE,PERSONAL,23050.0,0.193666,0.419171,14.35,0,0.12,25,200000,9.0,3,0
LN000188,2023-02-05,B,MORTGAGE,DEBTCONSOLIDATION,20000.0,0.142436,0.287848,10.99,0,0.1,24,200000,8.0,3,0
LN000189,2021-12-24,E,RENT,DEBTCONSOLIDATION,25000.0,0.763966,0.63938,16.82,1,0.42,24,60000,2.0,2,1
LN000190,2023-05-23,B,OWN,HOMEIMPROVEMENT,3000.0,0.157226,0.314477,10.99,1,0.21,21,14400,0.0,4,0
LN000191,2023-08-19,D,RENT,PERSONAL,25000.0,0.702267,0.54669,15.21,1,0.37,26,66996,10.0,2,1
LN000192,2023-09-01,A,RENT,EDUCATION,25000.0,0.137882,0.184439,7.9,1,0.37,23,67000,3.0,4,0
LN000193,2021-12-21,B,RENT,VENTURE,25000.0,0.19787,0.327514,10.99,1,0.37,24,67000,2.0,3,0
LN000194,2023-10-11,D,RENT,PERSONAL,25000.0,0.698271,0.520055,14.09,1,0.37,24,68000,5.0,3,1
LN000195,2023-01-15,D,RENT,PERSONAL,25000.0,0.623366,0.535546,17.49,1,0.36,25,69000,9.0,2,0
LN000196,2021-06-09,B,MORTGAGE,EDUCATION,12000.0,0.144727,0.287336,11.48,0,0.06,25,200000,0.0,3,0
LN000197,2022-08-04,E,MORTGAGE,VENTURE,20000.0,0.621781,0.641041,17.74,1,0.11,26,188000,10.0,2,0
LN000198,2022-07-23,C,MORTGAGE,PERSONAL,3000.0,0.188069,0.402228,13.92,0,0.01,26,200000,4.0,3,0
LN000199,2022-12-03,D,RENT,EDUCATION,25000.0,0.622791,0.527753,15.21,1,0.36,25,69996,9.0,3,0
LN000200,2021-04-06,B,OWN,MEDICAL,4000.0,0.173085,0.266996,10.99,1,0.28,22,14400,2.0,3,0
LN000201,2022-12-11,B,RENT,EDUCATION,25000.0,0.196589,0.309389,11.86,1,0.36,24,70000,3.0,4,0
LN000202,2021-02-22,A,OWN,PERSONAL,6000.0,0.146404,0.213441,7.49,1,0.42,24,14400,5.0,3,0
LN000203,2024-05-31,D,RENT,MEDICAL,25000.0,0.631915,0.579626,16.49,1,0.38,24,56100,7.0,4,0
LN000204,2023-03-23,D,RENT,VENTURE,25000.0,0.711769,0.548615,15.33,1,0.38,25,66000,9.0,2,1
LN000205,2021-11-12,B,RENT,HOMEIMPROVEMENT,25000.0,0.191912,0.298871,11.58,1,0.38,26,66000,3.0,4,0
LN000206,2024-04-05,A,OWN,EDUCATION,5375.0,0.128911,0.185149,5.79,1,0.37,25,14400,7.0,2,0
LN000207,2021-01-07,C,RENT,MEDICAL,25000.0,0.237875,0.410996,13.11,1,0.34,25,72612,9.0,2,0
LN000208,2022-05-11,B,RENT,MEDICAL,25000.0,0.193369,0.308171,10.36,1,0.34,23,74000,3.0,3,0
LN000209,2023-02-04,B,RENT,DEBTCONSOLIDATION,25000.0,0.191375,0.29389,10.36,1,0.33,25,75000,9.0,2,0
LN000210,2022-08-30,C,RENT,MEDICAL,22000.0,0.288564,0.414835,13.48,0,0.11,24,192000,0.0,2,1
